CVA2032;01;APPRECIATING CLASSICAL MUSIC;MW;9:45AM;11:20AM;Graham, Sandra;NA'
CVA2033;01;RADICAL POLITICS TODAY;TR;1:15PM;2:50PM;Bruyneel, Kevin;NA'
CVA2033;02;RADICAL POLITICS TODAY;TR;3:00PM;4:35PM;Bruyneel, Kevin;NA'
CVA2034;01;NATURE AND US CULTURAL VALUES;MW;1:15PM;2:50PM;Pogue, Neall W;NA'
CVA2034;02;NATURE AND US CULTURAL VALUES;MW;3:00PM;4:35PM;Pogue, Neall W;NA'
CVA2057;01;IMAGINING SUSTAINABILITY (INTDIS);MW;8:00AM;9:35AM;Graham, Michelle;3'
DES3600;01;SF DESIGN AND SYSTEMS THINKING;W;4:00PM;7:00PM;TBA;1'
ECN2000;01;PRINCIPLES OF MACROECONOMICS;TR;8:00AM;9:35AM;Blitz, Amy;3'
ECN2000;02;PRINCIPLES OF MACROECONOMICS;TR;9:45AM;11:20AM;Blitz, Amy;3'
ECN2000;03;PRINCIPLES OF MACROECONOMICS;TR;1:15PM;2:50PM;Ricciardi, Joseph M;3'
ECN2000;04;PRINCIPLES OF MACROECONOMICS;;1:15PM;2:50PM;CANCEL, CANCEL Alexander, Barbara;3'
ECN2000;05;PRINCIPLES OF MACROECONOMICS;MW;8:00AM;9:35AM;Korsak, John;3'
ECN2000;06;PRINCIPLES OF MACROECONOMICS;MW;11:30AM;1:05PM;Alexander, Barbara;3'
ECN2000;07;PRINCIPLES OF MACROECONOMICS;MW;1:15PM;2:50PM;McAuliffe, Robert E;3'
ECN3615;01;MONEY, BANKING & THE ECONOMY;MW;9:45AM;11:20AM;McAuliffe, Robert E;2'
ECN3615;02;MONEY, BANKING & THE ECONOMY;MW;1:15PM;2:50PM;Staveley-O'Carroll, Josh;2'
ECN3620;01;ECONOMETRICS;TR;1:15PM;2:50PM;Gai, Yunwei;NA'
ECN3625;01;ECN AND POL INTEG IN THE EUROPEAN UNION;TR;3:00PM;4:35PM;Harris, B. Neal;NA'
ECN3655;01;MANAGERIAL ECONOMICS;TR;11:30AM;1:05PM;Alexander, Barbara;2'
ECN3655;02;MANAGERIAL ECONOMICS;MW;1:15PM;2:50PM;Jones, Kent A;2'
ECN3665;01;INTERNATIONAL FINANCE;MW;11:30AM;1:05PM;Jones, Kent A;NA'
ECN3667;01;STRATEGIC GAME THEORY;TR;9:45AM;11:20AM;Korsak, John;2'
ECN3671;01;ECONOMICS OF THE LABOR MARKET;MW;11:30AM;1:05PM;Way, Megan;NA'
ENG4602;01;PRACTICUM IN PEER CONSULTING AND WRITING;MW;3:00PM;4:35PM;Megan, Carolyn E;NA'
ENG4620;01;WRITING CREATIVE NON-FICTION;TR;1:15PM;2:50PM;Bauer, Stephen K;NA'
ENG4620;02;WRITING CREATIVE NON-FICTION;TR;3:00PM;4:35PM;Bauer, Stephen K;NA'
EPS3501;01;ENTREPRENEURSHIP AND OPPORTUNITY;MW;11:30AM;1:05PM;George, Bradley;2'
EPS3501;02;ENTREPRENEURSHIP AND OPPORTUNITY;TR;8:00AM;9:35AM;Chang, Raymond;2'
EPS3504;01;FUTURE TRENDS AND EPS VENTURES;MW;1:15PM;2:50PM;Daniels, Caroline;NA'
EPS3505;01;GREAT EPS WEALTH:CREATION,PRSV,DEST;T;1:15PM;4:25PM;Shulman, Joel M;2'
EPS3518;01;CROWDFUNDING;W;3:00PM;6:10PM;Noyes, Erik;3'
EPS3520;01;MANAGING A GROWING BUSINESS;TR;11:30AM;1:05PM;Gale, Mary;NA'
EPS3534;01;SCHOLAR IN ACTION EXPERIENCE;T;5:00PM;6:35PM;Thomas, Lisa H;NA'
EPS3540;01;RAISING MONEY-VC AND PRIVATE EQUITY;T;1:15PM;4:15PM;LaPoint, William;3'
EPS3580;01;MKTG FOR ENTREPRENEURS;TR;1:15PM;2:50PM;Ali, Abdul;NA'
EPS4505;01;SF2 CONSULTING IN TECH ENTREPRENEURSHIP;1:29PM-1:30PM;1:15PM;2:50PM;Cohen, Allan R;NA'
EPS4510;01;ENTREPRENEURIAL FINANCE;MW;9:45AM;11:20AM;Santinelli, Angelo;3'
EPS4515;01;AFFORDABLE DESIGN AND ENTREPRENEURSHIP;T;3:30PM;6:30PM;Slutsky, Fran D;1'
EPS4520;01;SF2 SILICON TECHNOLOGY VENTURES;10:10AM-10:11AM;3:30PM;6:30PM;Gale, Mary;NA'
EPS4521;01;VENTURE GROWTH STRATEGIES;T;6:30PM;9:30PM;Lange, Julian E;NA'
EPS4523;01;ENVIRONMENT AND SUSTAINABLE EPS;T;3:30PM;6:30PM;George, Bradley;NA'
EPS4527;01;SOC EPS BY DESIGN;W;1:15PM;4:25PM;Gale, Mary;NA'
EPS4530;01;LIVING THE EPS EXPERIENCE (GENERAL FOCUS;T;8:00AM;11:10AM;Shulman, Joel M;2'
EPS4534;01;LIVING THE FAMILY BUSINESS EXPERIENCE;MW;9:45AM;11:20AM;Allen, Matthew;NA'
EXC3000;01;BABSON STUDY ABROAD;;9:45AM;11:20AM;;NA'
FIN2520;01;PERSONAL FINANCE;M;6:30PM;10:10PM;TBA;3'
FIN3515;01;CORPORATE FINANCIAL MANAGEMENT;MW;8:00AM;9:35AM;Lopez, David F;2'
FIN3515;02;CORPORATE FINANCIAL MANAGEMENT;MW;9:45AM;11:20AM;Lopez, David F;2'
FIN3520;01;SECURITY VALUATION;TR;9:45AM;11:20AM;Hasanhodzic, Jasmina;2'
FIN3520;02;SECURITY VALUATION;TR;11:30AM;1:05PM;Hasanhodzic, Jasmina;2'
FIN3522;A01;BEHAVIORAL FINANCE;TR;3:00PM;4:35PM;Harrington, Diana R SPEC SCHED SEE DESC, -;NA'
FIN3535;01;FINANCING AND VALUING SUSTAINABILITY;TR;8:00AM;9:35AM;Bliss, Richard T Harrity, Michael;NA'
FIN3555;01;REAL ESTATE INVESTMENT;MW;8:00AM;9:35AM;Harrity, Michael;1'
FIN3560;01;FINANCIAL MARKETS AND INSTRUMENTS;MW;11:30AM;1:05PM;Edmunds, John C;1'
FIN3560;02;FINANCIAL MARKETS AND INSTRUMENTS;MW;1:15PM;2:50PM;Edmunds, John C;1'
FIN4510;01;CORPORATE FINANCIAL MODELING&DECIS TOOLS;TR;8:00AM;9:35AM;Ashburne, John;2'
FIN4521;01;BABSON COLLEGE FUND II;T;6:30PM;9:00PM;Gregory, Patrick C;NA'
FIN4530;01;INVESTMENTS;MW;4:45PM;6:20PM;TBA;3'
FIN4535;01;FIXED INCOME AND STRUCTURED PRODUCTS;TR;11:30AM;1:05PM;Edmunds, John C;NA'
FIN4540;01;CORPORATE FINANCIAL STRATEGY;W;3:00PM;6:10PM;Bayer, Michael  L;NA'
FIN4560;01;OPTIONS & FUTURES;MW;11:30AM;1:05PM;Feinstein, Steven P;1'
FLM4605;01;CULTURE THROUGH FILM IN THE MIDDLE EAST;TR;11:30AM;1:05PM;Abdelghany, Louissa;NA'
FME1000;01;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;9:45AM;11:20AM;Bonnevie, Robert P Goldstein, Beth;2'
FME1001;01;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;8:00AM;9:35AM;LaPoint, William Taylor, Scott N;NA'
FME1001;02;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;9:45AM;11:20AM;LaPoint, William Vroman, Susan;NA'
FME1001;03;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;9:45AM;11:20AM;Gibson, Kerry R Randolph, Angela F;NA'
FME1001;04;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;11:30AM;1:05PM;Noyes, Erik Vroman, Susan;NA'
FME1001;05;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;1:15PM;2:50PM;Gibson, Kerry R Randolph, Angela F;NA'
FME1001;06;FOUNDATIONS OF MGMT & ENTREPRENEURS;MW;3:00PM;4:35PM;Gilleran, Ruth Sokuvitz, Sydel;NA'
FME1001;07;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;8:00AM;9:35AM;Bonnevie, Robert P Lopez, David F;NA'
FME1001;08;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;9:45AM;11:20AM;Murphy, Wendy Vedula, Siddharth;NA'
FME1001;09;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;9:45AM;11:20AM;Opie, Tina Stoddard, Donna B;NA'
FME1001;10;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;11:30AM;1:05PM;Balachandra, Lakshmi Opie, Tina;NA'
FME1001;11;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;11:30AM;1:05PM;Hunt, James M Vedula, Siddharth;NA'
FME1001;12;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;1:15PM;2:50PM;Balachandra, Lakshmi Tosti-Kharas, Jennifer;NA'
FME1001;13;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;1:15PM;2:50PM;Hunt, James M Yamakawa, Yasuhiro;NA'
FME1001;14;FOUNDATIONS OF MGMT & ENTREPRENEURS;TR;3:00PM;4:35PM;Kerrigan, Michele B Yamakawa, Yasuhiro;NA'
FRN2200;01;FRENCH I & II ACCEL ELEMENTARY FRENCH;TR;9:45AM;11:20AM;Hoffer, Pamela M;NA'
FRN4630;01;FRENCH IV: INTERMEDIATE FRENCH II;TR;11:30AM;1:05PM;Hoffer, Pamela M;NA'
FYS1000;01;GAP - FIRST YEAR SEMINAR;T;8:00AM;9:15AM;Stanley, Samantha;NA'
FYS1000;02;GAP - FIRST YEAR SEMINAR;W;3:00PM;4:15PM;Miller, Heather;NA'
